,TRAFFIC_ITEM_ID,TRAFFIC_ITEM_TYPE_DESC,CRITICALITY_DESCRIPTION,GEOLOC_ORIGIN_LATITUDE,GEOLOC_ORIGIN_LONGITUDE,GEOLOC_TO_LATITUDE,GEOLOC_TO_LONGITUDE
0,1471076749343514911,CONSTRUCTION,minor,30.68448,-95.52373,30.67731,-95.51974
1,3955217365127411787,CONSTRUCTION,minor,33.24797,-94.62903,33.24583,-94.63209
2,479697658400022681,CONSTRUCTION,minor,34.09404,-99.73007,33.98516,-99.72506
3,4370166398227366589,CONSTRUCTION,minor,33.00267,-97.07008,33.00637,-97.07073
4,2893677965861805193,CONSTRUCTION,minor,29.37836,-97.95615,29.52101,-97.95818
5,1438499540748227988,CONSTRUCTION,minor,31.93706,-97.31779,31.86777,-97.37055
6,2460541676618917049,CONSTRUCTION,critical,31.21508,-92.3527,31.2321,-92.35425
7,1322515901056366989,CONSTRUCTION,critical,32.76002,-96.81419,32.7588,-96.81417
8,2406879823635802776,ROAD_CLOSURE,critical,32.761,-96.81311,32.76097,-96.81566
9,4429457535171534092,CONSTRUCTION,minor,31.13075,-92.94195,31.13093,-92.9417
10,4275647236727682216,CONSTRUCTION,minor,28.46438,-98.8138,28.44124,-99.22442
11,1598347279771490678,CONGESTION,minor,32.78929,-97.45956,32.78636,-97.46334
12,3595926555985380297,CONSTRUCTION,minor,28.833491,-96.542261,28.710967,-96.553478
13,133629782301953836,CONSTRUCTION,minor,32.52802,-97.33104,32.53363,-97.32831
14,1313535113921669191,CONSTRUCTION,minor,33.681517,-97.072504,33.76883,-97.065314
15,4054068373551689767,ROAD_CLOSURE,critical,32.70534,-96.83185,32.69461,-96.84413
16,3389227967487578959,CONSTRUCTION,minor,32.47953,-96.83327,32.44006,-96.85181
17,985190650542569246,CONSTRUCTION,minor,33.78313,-97.73711,33.81638,-97.93148
18,1802401034082813104,CONSTRUCTION,critical,35.44584,-97.4237,35.44455,-97.42163
19,3428905980020635779,CONSTRUCTION,minor,33.47035,-94.04318,33.46087,-94.17128
